"timestamp","Output_Video_Timestamp","gaze2d","Object_Label","Object_BB","Overlapping_Objects","Overlapping_Objects_BBs","Detected_Objects","BBs_all"
30.63656687,0.0,"(0.60355055, 0.37605736)","yellow star","[0.6417043209075928, 0.2833113670349121, 0.08961988985538483, 0.13701452314853668]","['yellow star']","[[0.6417043209075928, 0.2833113670349121, 0.08961988985538483, 0.13701452314853668]]","['purple circle', 'yellow star', 'pink rectangle red rectangle', 'yellow triangle', 'blue rectangle blue pentagon', 'blue pentagon', 'pink rectangle red circle red rectangle']","[[0.8796444535255432, 0.2689482271671295, 0.09601132571697235, 0.12688525021076202], [0.6417043209075928, 0.2833113670349121, 0.08961988985538483, 0.13701452314853668], [0.5113806128501892, 0.02231607213616371, 0.07305628806352615, 0.04345649853348732], [0.13862201571464539, 0.3667285144329071, 0.10535135120153427, 0.1526370644569397], [0.28518909215927124, 0.27664807438850403, 0.09926478564739227, 0.10814134776592255], [0.5126504302024841, 0.39216116070747375, 0.08197472244501114, 0.10785625129938126], [0.5116342902183533, 0.03006577119231224, 0.09656333178281784, 0.05915375426411629]]"
30.70671787,0.06666666666666667,"(0.5563799, 0.37654197)","blue pentagon","[0.5130115747451782, 0.392146497964859, 0.08253682404756546, 0.10827077925205231]","['blue pentagon']","[[0.5130115747451782, 0.392146497964859, 0.08253682404756546, 0.10827077925205231]]","['purple circle', 'yellow star', 'pink rectangle circle red rectangle', 'yellow triangle', 'blue pentagon', 'blue rectangle blue pentagon', 'pink rectangle red circle red rectangle']","[[0.88010573387146, 0.2688295543193817, 0.09613506495952606, 0.12686221301555634], [0.6420345902442932, 0.28327739238739014, 0.08975224196910858, 0.13696306943893433], [0.5115002989768982, 0.02235875464975834, 0.07305550575256348, 0.043559636920690536], [0.1391122192144394, 0.3667276203632355, 0.10526212304830551, 0.15269047021865845], [0.5130115747451782, 0.392146497964859, 0.08253682404756546, 0.10827077925205231], [0.28549128770828247, 0.2765420079231262, 0.09930870682001114, 0.10847033560276031], [0.5117799639701843, 0.030342644080519676, 0.09744410216808319, 0.05975541099905968]]"
30.77683587,0.13333333333333333,"(0.51797336, 0.37711242)","blue pentagon","[0.5148516297340393, 0.39297258853912354, 0.08297651261091232, 0.10950635373592377]","['blue pentagon']","[[0.5148516297340393, 0.39297258853912354, 0.08297651261091232, 0.10950635373592377]]","['purple circle', 'yellow star', 'pink rectangle red rectangle', 'yellow triangle', 'blue pentagon', 'blue rectangle blue pentagon', 'pink rectangle red circle red rectangle']","[[0.8827717900276184, 0.2679471969604492, 0.0964098796248436, 0.12718375027179718], [0.6438751816749573, 0.28337058424949646, 0.0898599624633789, 0.1366731971502304], [0.512978196144104, 0.02250555530190468, 0.07319259643554688, 0.04398304596543312], [0.142441064119339, 0.36887314915657043, 0.10467391461133957, 0.1519421637058258], [0.5148516297340393, 0.39297258853912354, 0.08297651261091232, 0.10950635373592377], [0.2877381145954132, 0.2782228887081146, 0.09755762666463852, 0.1064000204205513], [0.513579785823822, 0.029626227915287018, 0.09920915961265564, 0.05877185985445976]]"
30.83692937,0.2,"(0.49753085, 0.37840122)","blue pentagon","[0.51277095079422, 0.39316508173942566, 0.08210943639278412, 0.10715444386005402]","['blue pentagon']","[[0.51277095079422, 0.39316508173942566, 0.08210943639278412, 0.10715444386005402]]","['purple circle', 'yellow star', 'pink rectangle red rectangle', 'yellow triangle', 'blue pentagon', 'blue rectangle blue pentagon', 'pink rectangle red circle red rectangle']","[[0.8799809217453003, 0.26844921708106995, 0.0963536873459816, 0.12711942195892334], [0.6420093178749084, 0.28374001383781433, 0.08996972441673279, 0.13697844743728638], [0.5113205909729004, 0.023006880655884743, 0.07367223501205444, 0.044912900775671005], [0.13927267491817474, 0.3699831962585449, 0.10595420747995377, 0.15218570828437805], [0.51277095079422, 0.39316508173942566, 0.08210943639278412, 0.10715444386005402], [0.28542375564575195, 0.2790095806121826, 0.09873763471841812, 0.10709795355796814], [0.5118643641471863, 0.030345574021339417, 0.09937863796949387, 0.06013994291424751]]"
30.90707937,0.26666666666666666,"(0.47054604, 0.38424906)","blue pentagon","[0.5118038654327393, 0.39285632967948914, 0.08212251216173172, 0.10748399049043655]","['blue pentagon']","[[0.5118038654327393, 0.39285632967948914, 0.08212251216173172, 0.10748399049043655]]","['purple circle', 'yellow star', 'yellow triangle', 'pink rectangle red rectangle', 'blue rectangle blue pentagon', 'blue pentagon', 'pink rectangle red circle red rectangle']","[[0.8783915638923645, 0.26862186193466187, 0.09603020548820496, 0.12691818177700043], [0.6408904194831848, 0.28378644585609436, 0.08993720263242722, 0.13677392899990082], [0.13774609565734863, 0.3687998354434967, 0.10572469234466553, 0.1524854302406311], [0.5101153254508972, 0.022776342928409576, 0.07336747646331787, 0.04436980560421944], [0.28427597880363464, 0.27817001938819885, 0.09867963194847107, 0.10705285519361496], [0.5118038654327393, 0.39285632967948914, 0.08212251216173172, 0.10748399049043655], [0.5105907917022705, 0.030597204342484474, 0.0964934453368187, 0.06002433970570564]]"
30.97719887,0.3333333333333333,"(0.45703095, 0.37583238)","blue pentagon","[0.5122155547142029, 0.3923056721687317, 0.08274074643850327, 0.10916291177272797]","['blue pentagon']","[[0.5122155547142029, 0.3923056721687317, 0.08274074643850327, 0.10916291177272797]]","['purple circle', 'yellow star', 'yellow triangle', 'blue rectangle blue pentagon', 'blue pentagon', 'pink rectangle red circle red rectangle', 'rec red circle red rectangle']","[[0.8789679408073425, 0.268748015165329, 0.0957949161529541, 0.1266063153743744], [0.6413636207580566, 0.28380125761032104, 0.08961393684148788, 0.1369798630475998], [0.13824260234832764, 0.3674440383911133, 0.10527697205543518, 0.15155208110809326], [0.2845876216888428, 0.2770296037197113, 0.09922929108142853, 0.10747001320123672], [0.5122155547142029, 0.3923056721687317, 0.08274074643850327, 0.10916291177272797], [0.5101917386054993, 0.02258634753525257, 0.07265790551900864, 0.04387066513299942], [0.5105422735214233, 0.030277542769908905, 0.09515940397977829, 0.05938040465116501]]"
31.03729187,0.39999999999999997,"(0.45131618, 0.3725742)","blue pentagon","[0.5116420984268188, 0.3924567699432373, 0.08185042440891266, 0.10823637247085571]","['blue pentagon']","[[0.5116420984268188, 0.3924567699432373, 0.08185042440891266, 0.10823637247085571]]","['purple circle', 'yellow star', 'pink rectangle circle red rectangle', 'yellow triangle', 'blue rectangle blue pentagon', 'blue pentagon', 'rec red circle red rectangle']","[[0.8786239624023438, 0.26883623003959656, 0.09556365758180618, 0.12648947536945343], [0.6410090327262878, 0.2835337817668915, 0.08965963870286942, 0.1373906284570694], [0.5102370977401733, 0.022492405027151108, 0.07309939712285995, 0.043761514127254486], [0.13734900951385498, 0.36745303869247437, 0.10528869181871414, 0.15196168422698975], [0.2841106653213501, 0.27691853046417236, 0.09893370419740677, 0.10656175762414932], [0.5116420984268188, 0.3924567699432373, 0.08185042440891266, 0.10823637247085571], [0.510716438293457, 0.030166879296302795, 0.09617800265550613, 0.05907323211431503]]"
31.10744237,0.4666666666666666,"(0.45054662, 0.37159008)","blue pentagon","[0.5115048885345459, 0.39254117012023926, 0.08154387027025223, 0.10769139230251312]","['blue pentagon']","[[0.5115048885345459, 0.39254117012023926, 0.08154387027025223, 0.10769139230251312]]","['purple circle', 'yellow star', 'pink rectangle red circle red rectangle', 'yellow triangle', 'blue rectangle blue pentagon', 'blue pentagon', 'rec red circle red rectangle']","[[0.8781251311302185, 0.26871228218078613, 0.09577464312314987, 0.12644627690315247], [0.640500009059906, 0.2834451496601105, 0.08962339162826538, 0.1367083042860031], [0.5095272660255432, 0.02256741002202034, 0.07319682836532593, 0.04391783848404884], [0.13717235624790192, 0.3685028553009033, 0.10531259328126907, 0.1520131230354309], [0.2837742269039154, 0.27734363079071045, 0.09898669272661209, 0.10659419000148773], [0.5115048885345459, 0.39254117012023926, 0.08154387027025223, 0.10769139230251312], [0.5100720524787903, 0.030471231788396835, 0.09716381877660751, 0.0596454031765461]]"
31.17756087,0.5333333333333333,"(0.4530896, 0.37222382)","blue pentagon","[0.512416422367096, 0.3926224410533905, 0.08265157788991928, 0.10885760188102722]","['blue pentagon']","[[0.512416422367096, 0.3926224410533905, 0.08265157788991928, 0.10885760188102722]]","['purple circle', 'yellow star', 'yellow triangle', 'blue pentagon', 'blue rectangle blue pentagon', 'pink rectangle red circle red rectangle', 'rec red circle red rectangle']","[[0.8794859051704407, 0.2678501009941101, 0.09607192128896713, 0.12699782848358154], [0.6414474248886108, 0.2831171154975891, 0.08974091708660126, 0.13673700392246246], [0.13837400078773499, 0.36885809898376465, 0.10492847114801407, 0.15196619927883148], [0.512416422367096, 0.3926224410533905, 0.08265157788991928, 0.10885760188102722], [0.2847267985343933, 0.2780446708202362, 0.09892583638429642, 0.10672450065612793], [0.5102928876876831, 0.022581499069929123, 0.07343078404664993, 0.043925460427999496], [0.5108757615089417, 0.030338963493704796, 0.09740422666072845, 0.05952290818095207]]"
31.237653870000003,0.6,"(0.4549611, 0.37259868)","blue pentagon","[0.5110448598861694, 0.39307481050491333, 0.08264091610908508, 0.10980347543954849]","['blue pentagon']","[[0.5110448598861694, 0.39307481050491333, 0.08264091610908508, 0.10980347543954849]]","['purple circle', 'yellow star', 'pink rectangle red rectangle', 'yellow triangle', 'blue pentagon', 'blue rectangle blue pentagon', 'pink rectangle red circle red rectangle']","[[0.8776357173919678, 0.2683866024017334, 0.09605453163385391, 0.12764351069927216], [0.6399649381637573, 0.2837827801704407, 0.08989955484867096, 0.13628430664539337], [0.5089015364646912, 0.022852633148431778, 0.07371751219034195, 0.044594112783670425], [0.13640844821929932, 0.37023988366127014, 0.1063254103064537, 0.15383368730545044], [0.5110448598861694, 0.39307481050491333, 0.08264091610908508, 0.10980347543954849], [0.28307488560676575, 0.27864670753479004, 0.0990666002035141, 0.10655129700899124], [0.5096520781517029, 0.031408146023750305, 0.09849536418914795, 0.06148727238178253]]"
